# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       2.8902652       2.8381631       3.4715283
2.750       2.9530971       2.7201399       3.5489075
2.750       3.0159289       2.6933900       3.7431120
2.750       3.0787608       2.5734033       3.8045733
2.750       3.1415927       2.5542005       4.0121287
2.750       3.2044245       2.4811966       4.1360099
2.750       3.2672564       2.4064352       4.2520080
2.750       3.3300882       2.3272535       4.3539272
2.750       3.3929201       2.2605822       4.4731293
2.750       3.4557519       2.2018647       4.6035044
2.750       3.5185838       2.1666706       4.7815294
2.750       3.5814156       2.1229745       4.9405946
2.750       3.6442475       2.0743552       5.0860071
2.750       3.7070793       2.0170218       5.2056684
2.750       3.7699112       1.9866155       5.3923420
2.750       3.8327430       1.9226001       5.4838847
2.750       3.8955749       1.8779770       5.6243870
2.750       3.9584067       1.8342877       5.7636681
2.750       4.0212386       1.8100555       5.9626824
2.750       4.1469023       1.7314671       6.2554119
2.750       4.2725660       1.6872783       6.6668906
2.750       4.3982297       1.5783701       6.8031937
2.750       4.5238934       1.5620235       7.3264725
2.750       4.6495571       1.4750967       7.5114802
2.750       4.7752208       1.4321914       7.9004479
2.750       4.9008845       1.3850653       8.2596930
2.750       5.0265482       1.3282775       8.5461132
2.750       5.1522120       1.2830674       8.8899823
2.750       5.2778757       1.2243417       9.1190661
2.750       5.4035394       1.1984943       9.5794636
2.750       5.5292031       1.1495070       9.8439522
2.750       5.6548668       1.1166984       10.229945
2.750       5.7805305       1.0932952       10.698202
2.750       5.9061942       1.0482144       10.940661
2.750       6.0318579       1.0227635       11.371004
2.750       6.1575216      0.97650517       11.549486
2.750       6.2831853      0.94214355       11.839325
2.750       6.4088490      0.91745818       12.234794
2.750       6.5345127      0.89066771       12.589996
2.750       6.6601764      0.87239935       13.056982
2.750       6.7858401      0.85027389       13.459842
2.750       6.9115038      0.82303271       13.765913
2.750       7.0371675      0.80670951       14.242332
2.750       7.1628313      0.78034317       14.528141
2.750       7.2884950      0.75309443       14.771795
2.750       7.4141587      0.73000527       15.072382
2.750       7.5398224      0.71014556       15.420590
2.750       7.6654861      0.69328153       15.819727
2.750       7.7911498      0.67185472       16.097198
2.750       7.9168135      0.65917536       16.569998
2.750       8.0424772      0.63902577       16.840623
2.750       8.2938046      0.61041680       17.642419
2.750       8.5451320      0.57568294       18.197426
2.750       8.7964594      0.54542424       18.807385
2.750       9.0477868      0.52824441       19.821305
2.750       9.2991143      0.49465564       20.151064
2.750       9.5504417      0.48417553       21.366996
2.750       9.8017691      0.46423376       22.147279
2.750       10.053096      0.44811659       23.065392
2.750       10.304424      0.42493816       23.554134
2.750       10.555751      0.40531739       24.150879
2.750       10.807079      0.38254061       24.460918
2.750       11.058406      0.37126382       25.434927
2.750       11.309734      0.36219364       26.544112
2.750       11.561061      0.34461101       26.976927
2.750       11.812388      0.33558533       28.021178
2.750       12.063716      0.31987067       28.450374
2.750       12.315043      0.31135687       29.460257
2.750       12.566371      0.29463420       29.619861
2.750       12.817698      0.28773768       30.697082
2.750       13.069025      0.27618135       31.231599
2.750       13.320353      0.26786886       32.073006
2.750       13.571680      0.25360438       32.116475
2.750       13.823008      0.24641197       32.971576
2.750       14.074335      0.23823107       33.647463
2.750       14.325663      0.22991262       34.243426
2.750       14.576990      0.22284713       34.968811
2.750       14.828317      0.21575281       35.637099
2.750       15.079645      0.20868440       36.252133
2.750       15.330972      0.20306000       37.068390
2.750       15.582300      0.19230897       36.860774
2.750       15.833627      0.19046607       38.302674
2.750       16.084954      0.18168064       38.303495
2.750       16.587609      0.17293752       39.986268
2.750       17.090264      0.16056778       40.604576
2.750       17.592919      0.15467605       42.668467
2.750       18.095574      0.14223891       42.697824
2.750       18.598229      0.13524522       44.076481
2.750       19.100883      0.13030547       46.003754
2.750       19.603538      0.12061481       46.033531
2.750       20.106193      0.11915527       49.065140
2.750       20.608848      0.11030497       48.913244
2.750       21.111503      0.10533996       50.213543
2.750       21.614157     0.098848646       50.565688
2.750       22.116812     0.095209894       52.181906
2.750       22.619467     0.091100131       53.411696
2.750       23.122122     0.084660647       53.019412
2.750       23.624777     0.082794000       55.306002
2.750       24.127432     0.080503234       57.281828
2.750       24.630086     0.076562119       57.953813
2.750       25.132741     0.072716997       58.482479
2.750       25.635396     0.070053074       59.788485
2.750       26.138051     0.068758608       62.203802
2.750       26.640706     0.065921110       63.143979
2.750       27.143361     0.063764723       64.601348
2.750       27.646015     0.059827080       64.042120
2.750       28.148670     0.058502595       66.102675
2.750       28.651325     0.055694300       66.361339
2.750       29.153980     0.055132077       69.209890
2.750       29.656635     0.051212725       67.672737
