# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       5.4035394       1.0877978       8.6946756
2.750       5.5292031       1.0688587       9.1533100
2.750       5.6548668       1.0256846       9.3961776
2.750       5.7805305       1.0171295       9.9528989
2.750       5.9061942      0.96262500       10.047328
2.750       6.0318579      0.93876583       10.437124
2.750       6.1575216      0.89743615       10.614307
2.750       6.2831853      0.86901845       10.920408
2.750       6.4088490      0.86244269       11.501133
2.750       6.5345127      0.82819463       11.706910
2.750       6.6601764      0.80419663       12.036209
2.750       6.7858401      0.78346135       12.402199
2.750       6.9115038      0.76808567       12.846878
2.750       7.0371675      0.74958590       13.233824
2.750       7.1628313      0.71209458       13.257514
2.750       7.2884950      0.70350732       13.799154
2.750       7.4141587      0.69339944       14.316583
2.750       7.5398224      0.66881749       14.523164
2.750       7.6654861      0.65344269       14.910660
2.750       7.7911498      0.64164958       15.373503
2.750       7.9168135      0.62664257       15.752206
2.750       8.0424772      0.60616715       15.974680
2.750       8.2938046      0.57990796       16.760645
2.750       8.5451320      0.54553542       17.244458
2.750       8.7964594      0.52101011       17.965534
2.750       9.0477868      0.49771849       18.675882
2.750       9.2991143      0.47670685       19.419874
2.750       9.5504417      0.45483782       20.072303
2.750       9.8017691      0.43027810       20.527351
2.750       10.053096      0.41555246       21.389256
2.750       10.304424      0.39616391       21.959190
2.750       10.555751      0.37841417       22.547848
2.750       10.807079      0.36027343       23.037080
2.750       11.058406      0.35634611       24.412929
2.750       11.309734      0.33510655       24.558979
2.750       11.561061      0.32557975       25.487117
2.750       11.812388      0.30824579       25.738342
2.750       12.063716      0.29476995       26.217831
2.750       12.315043      0.28435797       26.905650
2.750       12.566371      0.27424344       27.569957
2.750       12.817698      0.26301396       28.059451
2.750       13.069025      0.25442832       28.771686
2.750       13.320353      0.24954391       29.878887
2.750       13.571680      0.23467447       29.719189
2.750       13.823008      0.22724372       30.406736
2.750       14.074335      0.21588411       30.491206
2.750       14.325663      0.21150372       31.501586
2.750       14.576990      0.20181790       31.668938
2.750       14.828317      0.19852482       32.791455
2.750       15.079645      0.19351974       33.617766
2.750       15.330972      0.18464247       33.706290
2.750       15.582300      0.17758538       34.038634
2.750       15.833627      0.17303536       34.797364
2.750       16.084954      0.16966103       35.769416
2.750       16.587609      0.15900156       36.764024
2.750       17.090264      0.15198204       38.433404
2.750       17.592919      0.13847938       38.200503
2.750       18.095574      0.13175592       39.551001
2.750       18.598229      0.12377938       40.339758
2.750       19.100883      0.11563835       40.825592
2.750       19.603538      0.11180094       42.669652
2.750       20.106193      0.10663588       43.909972
2.750       20.608848     0.099657687       44.191852
2.750       21.111503     0.095881117       45.704692
2.750       21.614157     0.091647930       46.882186
2.750       22.116812     0.086827106       47.587532
2.750       22.619467     0.081803438       47.961077
2.750       23.122122     0.078872331       49.394432
2.750       23.624777     0.075309715       50.306535
2.750       24.127432     0.071669642       50.996312
2.750       24.630086     0.069495364       52.604621
2.750       25.132741     0.065633736       52.785783
2.750       25.635396     0.062620447       53.444931
2.750       26.138051     0.058599133       53.012837
2.750       26.640706     0.056740646       54.350271
2.750       27.143361     0.054394601       55.108286
2.750       27.646015     0.052172779       55.848545
2.750       28.148670     0.050961183       57.581557
2.750       28.651325     0.048126953       57.344630
2.750       29.153980     0.045897943       57.617847
2.750       29.656635     0.044873215       59.295679
2.750       30.159289     0.042590634       59.189910
2.750       30.661944     0.041017239       59.901232
2.750       31.164599     0.039696654       60.870770
2.750       31.667254     0.038204109       61.462687
2.750       32.169909     0.036421010       61.428758
2.750       33.175218     0.033485003       61.938684
2.750       34.180528     0.031721879       64.174939
2.750       35.185838     0.029274689       64.605015
2.750       36.191147     0.026901001       64.601970
2.750       37.196457     0.026009444       67.811922
2.750       38.201767     0.023970482       67.701357
2.750       39.207076     0.022535922       68.808004
2.750       40.212386     0.020991389       69.149806
2.750       41.217696     0.020022505       71.029671
2.750       42.223005     0.018717384       71.377745
2.750       43.228315     0.017252377       70.603155
